Report Refresh Date,User Principal Name,Display Name,Is Deleted,Deleted Date,Has Exchange License,Has OneDrive License,Has SharePoint License,Has Skype For Business License,Has Yammer License,Has Teams License,Exchange Last Activity Date,OneDrive Last Activity Date,SharePoint Last Activity Date,Skype For Business Last Activity Date,Yammer Last Activity Date,Teams Last Activity Date,Exchange License Assign Date,OneDrive License Assign Date,SharePoint License Assign Date,Skype For Business License Assign Date,Yammer License Assign Date,Teams License Assign Date,Assigned Products
2022-06-13,23BE6B0EEE20F420BE3E709B583EF02D,66AA5D81AE5CFF7830E22E4CE0B097FD,False,,True,True,True,True,True,True,2022-04-14,,,,,,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,D47BE4FF37C24EBCB0FA6C21F076AF1F,DEF321BC3BCD71D947D1F2C3D872922B,False,,True,True,True,True,True,True,2022-06-13,2022-06-10,2022-06-13,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,90325DA4DBE5C95C998A90E5A8F51DB2,80102CDF723F1EEA8F3DFEAEBB5E5BFC,False,,True,True,True,True,True,True,2022-06-13,,2022-06-10,,,2022-06-11,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,2805732FDF78B972D4CC10B82D5F1012,B7E497FBB53E3809298F124C3B11D0A7,False,,True,True,True,True,True,True,,,,,,,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,DD7FFA8203A3A2A169E7B7F03DEE3F31,A17132461A4BD7998AE3793E42CB9C93,False,,True,True,True,True,True,True,2022-06-09,2022-06-02,2022-05-28,,,,2022-05-25,2022-05-25,2022-05-25,2022-05-25,2022-05-25,2022-05-25,MICROSOFT TEAMS EXPLORATORY+MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 BUSINESS BASIC+POWER BI (FREE)
2022-06-13,9E3F31C27891ADC1AD4FE25B27C851C7,2F926F11008EC415A25EECA611B2626D,False,,True,True,True,True,True,True,2022-05-28,2022-05-03,,,,2022-06-10,2022-05-03,2022-05-03,2022-05-03,2022-05-03,2022-05-03,2022-05-03,MICROSOFT 365 BUSINESS BASIC+POWER BI (FREE)+MICROSOFT TEAMS EXPLORATORY+MICROSOFT POWER AUTOMATE FREE
2022-06-13,1EDC6D8D1825C8B8F7558EAF33F478EA,B9ED91D027FD8DCCF6D56A575A1B261B,False,,True,True,True,True,True,True,2022-06-13,2022-06-13,2022-06-13,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,0B8190D6850365D356BA1415A485DCAC,E9AF58FC6966F1711D3D360DF4517F77,False,,True,True,True,True,True,True,2022-06-13,,2022-04-13,,,,2022-04-06,2022-04-06,2022-04-06,2022-04-06,2022-04-06,2022-04-06,MICROSOFT TEAMS EXPLORATORY+POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,7FF4A057439EB4B576D46E355EF7BF85,E4CBD603E0BE8D7D87478807647D537B,False,,True,True,True,True,True,True,2022-06-12,,2022-06-12,,,,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,34166E1A31A3BAE953AAD4F1D32F7D4E,D686D1E13B7035B942F9EF3819819284,False,,True,True,True,True,True,True,2022-06-13,2022-06-13,2022-06-11,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,1710046155C3F72491204ADD0D67CD6B,669C4477B407CD3486258611D3994CAD,False,,True,True,True,True,True,True,2022-06-13,2022-06-07,2022-06-13,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,72542FDBA15A138AA992AFE1257DA74F,24B3AE1FDF6E09FFA4B01EDC078A95C8,False,,True,True,True,True,True,True,2022-06-13,,2022-04-08,,,2022-05-12,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,2AB702AC466E8AD7708C2D1DE66D1088,1C749317617F0D8ACA70D2128C5FA943,False,,True,True,True,True,True,True,2022-06-13,2022-06-07,2022-06-13,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,59326939F42AB36CC623E537ADB49316,D1EEA603377FAB2F587C10A23CB247B0,False,,True,True,True,True,True,True,2022-06-04,2022-05-18,2022-05-27,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
